번호,문제,답
153,"사용자들의  장치와  가까운  데이터의  밑단부에서  컴퓨팅하는  기술을  일컫는  말로써  클라우드  컴퓨팅의  단점을  보완하는
기술은",엣지  컴퓨팅
154,사용자  생활환경  안에서  자연스럽게  요구사항을  인지해  필요한  서비스를  제공하며  인터페이스를  최소화  시키는  방식은,제로UI
155,LTE  속도와  비교했을  때  LTE를  지하철이라고  하면  이  방식은  고속전철로  비유할  수  있다.  이것은  무엇인가,5G
156,"규제를  뜻하는  regulation과  기술을  뜻하는  technology의  합성어로  금융  서비스  부문의  법규  준수와  규제를  해결하기
위한  기술은",레그테크
157,"개인정보  열람  요청  권리,  정정  요청  권리,  삭제  요청  권리  등이  포함된  규정으로  유럽의회에서  개인  정보보호를  강화하
기  위해  만든  통합  규정은",GDPR  (유럽일반개인정보보호법)
158,"작품을  기획하고  설명하는  큐레이터에서  파생된  서비스로  빅데이터  분석을  통해  기사,  컨텐츠  등을  개인  맞춤형으로  제
공하는  서비스는",큐레이션  서비스
159,생성적  적대  신경망을  뜻하며  상반된  목적을  가진  두  인공지능이  서로  경쟁하는  학습기법을  뜻하는  것은,GAN
160,"디자이너들이  생각하는  방식을  다른  분야에  적용한  것으로  사용자  중심  프로세스를  통해  복잡한  문제에  대한  해결  방법
을  도출하는  방법은",Design  Thinking(디자인  씽킹)
161,"사용자(비즈니스)의  의도에  따라  스스로  학습하고  적응하며  자동화할  뿐  아니라  보안위협까지도  방어해  보호할  수  있는
네트워크를  뜻하는  개념으로,  마치  사람과  같은  직관력을  갖고  판단해  동작하는  네트워크  라는  의미를  담은  개념은",Intent  Based  Network
162,"네트워크  기술에서  제어와  전송  부분을  분리하는  기술로  ‘개방성’과  ‘유연성’을  핵심  기술로  실제  네트워크  기능을  모두
SW가  통제하는  의미를  가진  네트워크는",SDN  (Software-Defined  Network)
163,"시간과  장소에  구애받지  않고  즐길  수  있는  스낵처럼  출퇴근  시간이나  점심시간  등  짧은  시간에  간편하게  문화생활을
즐기는  라이프  스타일  또는  문화  트렌드를  말하는  것으로  웹툰,  웹  소설과  웹  드라마가  대표적인  이것은",스낵  컬쳐
164,"미국  방위  산업체  ‘보스턴  다이내믹스(Boston  Dynamics)’가  만든  미래형  휴머노이드형  로봇이다.  2015년  로봇  경진대회
‘다르파(DARPA)  로보틱스  챌린지(DRC)’에  참가한  이후로  비약적인  발전을  거듭하여  인간과  매우  흡사한  형태로  발전한
로봇의  이름은",아틀라스
165,"1980년대부터  나타난  일종의  ‘사기  수법’으로  기업의  이메일  정보를  해킹,  거래처로  둔갑시킨  뒤  피해  대상  기업에  메일
을  보내  악성  코드를  감염시킨  후  업체가  지불  결제  방식을  바꾸도록  유도하여  거래  대금을  가로채는  범죄  수법을  일컫
는  해킹  방법은",스캠
166,"미국  라스베이거스에서  매년  1월에  개최되는  세계  최대  가전  전시회로  최신  가전제품과  기술을  읽을  수  있는  행사다.  스
마트홈,  웨어러블,  3D프린팅,  오디오,  자동차,  전자,  헬스  ·  바이오,  인터넷,  온라인  미디어,  로봇,  센서  등  거의  모든  종류
의  가전  및  관련  SW/HW  업체가  참가하는  행사는",CES  (Consumer  Electronics  Show)
167,"인터넷을  이용하지  못하는  오지까지  인터넷을  보급하기  위한  ‘구글’의  프로젝트로  .  전  세계  누구나  인터넷을  이용할  수
있도록  열기구와  같은  대형  풍선에  통신  장비를  달아  비행기가  다니는  고도  10km보다  높은  약  20km  상공에  띄워  지상 안테나  혹은  다른  풍선과  통신하며  지상에  인터넷  신호를  보내주는  무선  공유기의  역할을  담당하도록  하는  대형  프로젝
트의  이름은",프로젝트  룬(Project  Loon)
168,"미국  전기자동차업체  ‘테슬라(Tesla)  모터스’의  자동차에  탑재되는  시스템으로  전방  카메라와  레이더,  차량  둘레에  있는
12개  초음파  센서로  차량을  조종하고  속도를  조절하는  자율주행  시스템의  이름은",오토  파일럿  (Auto  Pilot)
169,"이  언어는  ‘애플’이  2014년  iOS와  OS  X  운영체계의  개발용으로  내놓은  프로그래밍  언어로  함수형과  객체형  언어  중간격
인,  스크립트  언어이기  때문에  컴파일이  필요  없으며,  오브젝티브  C에서  C언어  특성을  줄이고  객체지향  언어의  성격을
강화했다.  2015년  오픈  소스로  전환된  이  언어의  이름은",스위프트(Swift)
170,"미국  스타트업  ‘네버웨어(Neverware)’가  개발안  소프트웨어로,  구형  노트북에  ‘구글’의  최신  크롬  운영체계(OS)를  설치하
여  크롬북으로  만들어  주는  소프트웨어다.  '마이크로소프트’의  윈도우(Windows)가설치된  개인용  컴퓨터(PC)는  물론  ‘애
플’의  iOS를  쓰는  아이맥이나  맥북도  가능한  이  소프트웨어의  이름은",클라우드레디  소프트웨어(CloudReady SW)
171,"‘페이스북’에서  공개한  같은  직장  동료들이  소셜  네트워킹  서비스(SNS)를  기반으로  협업하기  위한  기업용  소셜  도구로
기존의  기업용  SNS인  ‘스랠테크몰로지스’의  ‘슬랙’,  '아틀라시안’의  ‘힙챗’,  '마이크로소프트’의  ‘야머’  등과  시장  주도권  경
쟁을  벌이고  있는  도구의  이름은",페이스북  워크플레이스(Workplace  by Facebook)
172,"가입  회원이  사망할  경우  고인의  인터넷  정보를  어떻게  처리할지  유언을  확인한  후  해당  정보  처리를  대행해  주는  서비
스를  말한다.  데이터를  모두  삭제할지,  가족이나  누군가에게  넘겨줄지에  대해  미리  결정할  수  있다는  점에서  최근  사용
자가  늘고  있는  이  서비스는  무엇인가",디지털  장례  서비스
173,"컴퓨터  소프트웨어(SW)를  활용해  기사가  자동  작성되는  저널리즘을  말한다.  인터넷상에서  각종  정보를  수집하고  정리
한  뒤  알고리즘을  통해  이를  분류하고  의미를  해석,  기사를  작성하는  이러한  저널리즘을  부르는  말은",로봇  저널리즘
174,"밖에서  바쁘게  돌아다니며  일하지만  실제로는  스마트폰으로  인터넷  세상에  머무르는  현대  중국인들을  일컫는  말로  시
간과  장소에  구애받지  않고  바쁘게  일하지만  실제로는  스마트폰으로  쉴  새  없이  인터넷을  즐기는  현대  중국인들을  묘사
한다.  국내에도  ‘호모  모빌리스(Homo  Mobilis)’라는  유사한  신조어가  사용되는데  이를  무엇이라  부르는가",피아오자이족
175,"소프트웨어  분야에서  아직  개발되지도  않은  가상제품을  미리  발표하는  것을  말한다.  이는  사용자들에게  지금은  할  수  없
는  일이  가능하다는  환상을  심어주고당장  구할  수  있는  경쟁업체의  제품을  사지  못하도록  하는  전략이다.  이  전략을  가
장  적절하게  구사해온  업체가  바로  미국의  마이크로소프트사다.  무엇일까",베이퍼웨어(Vapor  Ware)
176,"어려서부터  인공지능(AI),  로봇  등  기술적  진보를  경험하며  자라나는  세대로  2011년  이후에  태어난  0~8세  영유아를  지
칭한다.  이들은  AI  스피커와  대화하면서  원하는  동요를  듣거나  동화를  읽어주는  서비스를  받으며  자란다.  하지만  이  세 대는  사람과  소통하는  대신  기계와의  일방적  소통에  익숙해  정서나  사회성  발달에  부정적인  영향을  미칠  수  있다는  우
려가  있다.  무엇일까",알파세대
177,"온실가스  등  환경오염  물질  발생을  사전에  막는  기술로  생물체에서  영감을  얻어  문제를  해결하려는  ‘생물  영감’과  생물
을  본뜨는  ‘생물  모방’을  아우르는  개념이다.  사후  대책의  성격이  강한  ‘녹색  기술’과  차별화되는  이  기술의  목표는  생물 의  구조와  기능을  연구해  경제적  효율성이  뛰어나면서도  자연  친화적인  물질을  창조하는  데  있다.  이  분야의  전문가들은
식물의  잎처럼  광합성  능력이  있는  인공  나뭇잎을  만들  궁리를  하고  있다고  한다.  무슨  기술일까",청색  기술
178,"유럽에서  매출을  올리는  전  세계  100대  IT기업들을  대상으로  순이익이  아닌  매출을  기준으로  3%의  세금을  부과하는  것
을  말한다.  2020년  시행을  목표로  협의  중이지만  프랑스·오스트리아  등은  도입  찬성을,  아일랜드·룩셈부르크  등은  반대 를  하고  있어  EU  내부에서도  갈등을  빚고  있다.  온라인  광고,  광고  이용자  데이터  판매  등을  통해  실제로  수익을  얻는  국 가에는  세금을  거의  내지  않아  문제가  되자  IT  기업의  소득  이전  행위를  막고,  영업하고  있는  국가에서  수익이  발생하면 이에  맞는  세금을  부과하기  위해  마련됐다.  사실상  미국  도널드  트럼프  행정부가  유럽을  비롯한  외국산  철강·알루미늄에 25%,  10%  관세를  부과하기로  한데  대한  보복으로,  미국  IT기업들에  대한  세금을  부과하려  계획하고  있다는  분석도  나오
기도  하는데,  유럽연합(EU)이  추진하고  있는  세제안의  이름은  무엇인가",디지털세  (Digital  Tax)
179,"중국  최대  인터넷업체인  바이두(百度,  Baidu)가  주도하는  자율주행차  연구  사업으로  바이두는  2017년  차세대  주력사업
중  하나로  ‘자율주행차’를  선정하고  주요  기술을  소프트웨어  플랫폼  형태로  파트너사에게  제공하고  파트너사의  자율주 행  데이터를  활용해  기술  개발과  보완을  하는  개방형  협력체계를  추진하고  있다.  이  프로젝트에는  현대차를  비롯해  다임 러,  포드,  베이징자동차,  보쉬,  델파이  등  완성차  메이커  및  자동차  부품사,  마이크로소프트  등  ICT업체,  중국  전기차  스타
트업,  학계  등  다양한  파트너들이  참여하고  있다.  이  프로젝트의  이름은",아폴로  프로젝트
180,"미래학자인  스탠  데이비스가  1999년  그의  저서에서  처음  사용한  용어로  인공지능(AI)·빅데이터·사물인터넷(IoT)  등  첨단
정보통신기술(ICT)의  발달로  산업의  경계가  모호해지는  현상을  말한다.  농림축산식품부와  한국농수산식품유통공사는 ‘2018년  외식  트렌드’를  이끌어  갈  키워드로  이  용어를  꼽았다.  배달  앱,  키오스크,  전자결제  수단의  발달로  온·오프라인 의  서비스가  융합되며  외식서비스가  빠르게  변화할  것이란  예측과  함께  4차  산업혁명  시대에  ‘무인화·자동화’  경향의  확
산으로  업종  간  경계가  모호해지면서  이  현상이  가속화될  것이라는  전망도  나온다.  무슨  현상인가",빅  블러(Big  Blur)
181,"2017년  2월  옥스퍼드  영어사전  온라인판에  신조어로  추가된  신조어로  ‘클릭(Click)’과  ‘액티비즘(Activism)’의  합성어로,
시간이나  노력은  거의  안  들이면서  온라인상에서  정치적·사회적  명분을  지지하는  행위를  부정적으로  일컫는  말이다.  시 간이나  노력은  별로  들이지  않으면서  지지  표명만  한다는  뜻으로,  ‘말만  앞선다’는  의미로  쓰인다.  소셜미디어를  활용하 여  시위를  조직하는  활동가를  설명하는  말로  종종  쓰이기도  하는데,  SNS를  통해  ‘아랍의  봄’과  ‘월가  점령  시위’가  확산 한  데  따른  것이다.  국내에서는  2008년  광우병  촛불집회에서  처음  사용됐으며,  차가운  물을  끼얹는  것이  루게릭병의  고
통과  비슷하다고  해서  시작된  아이스  버킷  챌린지도  SNS를  이용한  하나의  예시다.  이  단어는  무엇인가",클릭티비즘
182,"금융을  뜻하는  파이낸셜(financial)과  기술(technique)의  합성어로  금융과  정보기술(IT)의  융합으로  탄생한  새로운  형태의
금융  서비스  및  산업  변화를  의미한다.  모바일  결제  및  송금,  개인자산관리,  크라우드  펀딩  등을  일컫는  이  용어는",핀테크
183,"인터넷을  통해  다른  사람이  기르는  고양이의  사진이나  동영상을  즐겨  보는  사람을  뜻하는  신조어다.  온라인상에서  영상,
사진  등을  통해  동물  보는  걸  즐긴다고  해서  뷰니멀로도  불린다.  현실을  이유로  고양이를  기르지  못하니  다른  이들의  고 양이라도  보면서  위안을  받는  사람을  뜻한다.  구독자  수가  100만이  넘는  고양이  유튜브  채널을  찾는  건  어렵지  않다.  많
은  사람이  동영상으로  고양이를  보면서  집사를  자처하기도  하는  이런  사람들을  무엇이라고  하는가",랜선집사
184,"얼마  전  구글이  미국  샌프란시스코에서  열린  '게임개발자회의  2019'(GDC  2019)에서  발표한  비디오  게임  스트리밍  플랫
폼으로  이다.  사용자는  게임을  하기  위해  플레이스테이션  같은  하드웨어(HW)  콘솔을  구매할  필요가  없으며  랩톱,  PC,  태
블릿,  스마트폰  등  자신의  기기를  스트리밍  서비스에  접속하기만  하면  되는  플랫폼의  이름은",스타디아(Stadia)
185,"전기스쿠터,  초소형전기차와  같은  친환경  동력에  기반을  둔  소형  근거리  이동수단을  말하는  용어는",마이크로  모빌리티
186,"1995년  미국  정보기술(IT)  연구  기업인  제록스파크의  소속  연구원  마크  와이저와  존  실리  브라운  논문에서  처음  사용한
용어로  사람이  인지하지  못한  상태에서  일상생활  환경에  센서,  컴퓨터,  네트워크  장비를  보이지  않게  내장해  각종  서비 스를  제공하는  기술이다.  이  기술은  평소에는  이용자가  인지하지  못할  정도로  존재를  드러내지  않는다.  그러다  필요함이 생길  때  정보를  제공하는  것을  목표로  한다.  4차  산업혁명  핵심인  빅데이터,  인공지능(AI),  사물인터넷(IoT)  등  첨단  기술
기반으로  발전하고  있는  이  기술은",캄테크  (Calm  Tech)
187,"인공지능(AI)  알고리즘이  스스로  문제를  분석하고  질문에  최적화된  답안을  찾아내는  기술을  말한다.  사람이  텍스트를  읽
고  질문  답변을  추론하듯이  AI가  문장  속에서  의미를  찾고  답변할  수  있다.  추론은  불가능하지만  사람이  관련  정보를  찾
기  위해  정보를  일일이  확인하지  않아도  답을  찾아낼  수  있는  이  기술은",기계독해(Machine  Reading Comprehension:MRC)
188,"게임사  밸브  코퍼레이션에서  개발해  운영하고  있는  온라인  게임  유통  시스템(ESD)으로  본래  게임  자동  업데이트  클라이
언트로  시작해  현재  전  세계에서  가장  큰  ESD로  성장,  PC  게임  표준  플랫폼으로  자리  잡았다.  이용자는  게임을  구매해 라이브러리에  저장,  언제든지  플레이할  수  있으며  1만개  이상  게임이  입점해  있다.  결제와  환불이  자유로워  편의성이  높
다.  채팅,  방송  및  다양한  커뮤니티  기능도  제공한다.  이  시스템의  이름은  무엇인가",스팀(Steam)
189,"미국  온라인  시민단체  무브온  이사장인  엘리  패리저가  쓴  책  '생각  조종자들'에서  제기된  개념으로  대형  인터넷  정보기
술(IT)  업체가  '맞춤  정보'를  제공해서  필터링된  정보만  도달시켜  비슷한  성향  이용자를  한울타리에  모아  두는  현상을  지 칭한다.  구글,  페이스북,  트위터  등  테크  기반  기업은  사용자가  어떤  콘텐츠를  소비했는지,  어디에  반응했는지,  좋아하는 주제는  무엇인지  파악해서  사용자가  좋아할  법한  콘텐츠  위주로  제공한다.  이용자는  방대한  정보  가운데  필요한  정보만
받게  되는  이런  현상을  무엇이라  하는가",필터버블
190,"데이터  센터  내  모든  자원이  가상화돼  서비스한다.  인력  개입  없이  소프트웨어(SW)  조작만으로  자동  제어  관리한다.  이
는  데이터  센터를  효율적으로  운영하고  편리하게  관리하기  위해  등장했다.  특정  하드웨어와  상관없이  독립적이다.  실제 물리적  환경과  동일하게  구성되며,  컴퓨팅,  네트워킹,  스토리지,  관리  등을  모두  SW로  정의해  데이터  센터를  구성·관리한
다.  무엇이라  하는가",SDDC(소프트웨어정의  데이터센터)
191,"스캐너를  이용해  이미지  형식으로  변환된  스캔  만화  및  웹툰을  식별하는  기술이다.  포털사이트,  웹하드,  토렌트  등을  통
해  불법  유통되는  만화  및  웹툰  콘텐츠를  찾아낸다.  이  기술은  만화  특징과  식별  시스템을  합쳐  놓은  것이다.  스캔  만화
및  웹툰  특징을  추출,  비교,  분석해  권  단위  만화·웹툰을  식별한다.  이  기술은  무엇인가",스코비스(SCOBIS)
192,"소프트웨어(SW)가  설치돼  있지  않은  하드웨어(HW)다.  사용자가  별도로  제작한  운용체계(OS)부터  모든  SW를  선택할  수
있다.  전용  중앙처리장치(CPU)와  HW로  제어한다.  기업은  dlrjt을  이용해  고유  업무  특성에  맞는  최적  환경을  구축할  수 있다.  메모리와  스토리지  용량을  선택할  수  있기  때문이다.  적용  분야에  따라  그래픽처리장치(GPU)까지  추가로  구성해 딥러닝,  실시간  데이터  처리  등을  위한  전용  인프라로  사용할  수  있다.  최근  HW에  대한  더욱  강력한  제어와  접근  권한이
필요해짐에  따라  주목받고  있는  이것은  무엇인가",베어메탈
193,"인공지능(AI),  사물인터넷(IoT)  등  다양한  기술이  융합된  자율화  공장이다.  제품  설계와  제조,  유통,  물류  등  산업  현장에
서  생산성  향상에  초점을  맞춰,  기계,  로봇,  부품  등이  상호  간  정보  교환으로  제조  활동을  한다.  모든  공정  이력이  기록 되며,  빅데이터  분석으로  사고나  불량을  예측할  수  있다.  컨베이어  생산  활동으로  대표되는  산업  현장에서  모듈형  생산 이  컨베이어를  대체하고  IoT가  신경망  역할을  한다.  센서와  기기  간  다양한  데이터를  수집하고,  이를  서버에  전송한다. 서버는  데이터를  분석해  결과를  도출한다.  서버에는  AI  기계학습  기술이  적용돼  빅데이터를  분석한다.  생산성  향상을  위
한  최적  방법을  제시하는  것을  목표로  하는  이러한  공장을  무엇이라  하는가",스마트  팩토리
194,"정보통신  기기나  서비스를  이용하며  느끼는  사용자  경험을  일컫는  용어로  스마트폰과  태블릿PC  같은  정보통신기술  제
품의  경쟁력을  가를  요소로  떠올랐다.  단순히  사용자  편의를  개선하는  데  머무르지  않고  제품과  사람  간  감정·신체적  상
호작용을  실현하는  게  목표인  이  용어는  무엇인가",유엑스(UX  :  User  eXperience)
195,"텍스트  마이닝의  한  분류로서,  특정  주제에  대한  사람들의  주관적  의견을  통계·수치화해  객관적  정보로  바꾸는  빅데이터
분석  기술이다.  텍스트  마이닝과  같이  문장을  분석하기  때문에  자연어  처리  방법(NLP)를  사용하지만,  텍스트  마이닝은 문장  내  주제를  파악하고  이  기술은감정·뉘앙스·태도  등을  판별한다는  차이가  있다.  이  때문에  감정  분석(Sentiment
Analysis)이라고도  불리는  이  기술은  무엇인가",오피니언  마이닝
196,"수많은  데이터가  쏟아지는  빅데이터  시대에서  데이터에  담겨있는  의미를  파악해  내는  능력은  데이터  활용  과정  전반에
꼭  필요한  역량이다  이는  이  시대의  개인에게도  꼭  필요한  능력이며  데이터  수집  역량,  관리  역량,  가공  및  분석  역량,  시 각화  역량,  기획  역량  등이  데이터를  활용하는  능력이다.  데이터를  목적에  맞게  활용하는  데이터  해석  능력을  말하는  이
것은  무엇인가",데이터  리터러시
197,"공기압의  압력  차를  이용해  빠른  속도로  움직이는  튜브형  초고속열차다.  고속  수송  시스템의  하나로  2013년  8월  엘론
머스크(Elon  Musk)가  구상해  발표한  개념이다.  이  열차는  캡슐  모양으로  튜브로  만든  궤도  속을  달린다.  튜브  안은  공기 를  제거해  압력이  매우  낮은  환경을  만들어  공기저항을  최소화한  것이  특징이다.  공기  마찰이  거의  없으므로  일반  열차
보다  빠른  속도를  낼  수  있다고  한다.  이  여열차의  이름은  무엇인가",하이퍼루프
198,"산업  현장에서  필요에  따라  사람을  구해  임시로  계약해서  일을  맡기는  경제  형태를  뜻한다.  노동자  입장에서는  어딘가에
고용되지  않고  필요한  때  일하는  유연한  임시직  경제  방식이다.  차량공유  서비스  우버  기사나  숙박공유  서비스  에어비앤 비에  숙소를  제공하는  사람  등  온디맨드  서비스에  참여하거나  프로젝트에  참여하는  프리랜서  및  1인  기업  등이  대표적 인  주체이다.  재능이나  시간  등이  있는  사람과  이를  필요로  하는  사람이  연결돼  서로  재화,  용역,  대가를  주고받는  거래
방식인  이것은  무엇인가",긱(GIG)  경제
199,"공기압·유압  또는  전기  힘으로  움직이는  전자기기  로봇을  말하는  것으로  과거  수입  영화  '터미네이터2'나  '킹콩'  등에서
부터  국산  영화  '차우'까지  초보적인  이  기술이  사용됐다.  이  기술을  활용하면  컴퓨터생성이미지(CGI)로  표현하는  것보다 저렴하게  장면을  구현할  수  있다.  실제  존재하는  사물이기  때문에  근접  촬영을  해도  훌륭한  질감과  움직임을  얻을  수  있 다.  디즈니는  공중제비를  도는  스틱맨  로봇을  공개한  데  이어  자유롭게  관절과  표정을  움직일  수  있는  스턴트로봇  스턴
트로닉스를  공개했다.  애니메이션과  일렉트로닉스를  합친  이  기술은  무엇인가",애니메트로닉스
200,"진법이란  사용할  수  있는  수의  개수와  각  숫자의  위치값을  정의한  수  체계로  이진법에서  사용할  수
있는  숫자는  1,  2로  두개이다.",X
201,AND  연산은  두개의  값이  모두  참이면  결과도  참이다,O
202,고급언어로  작성한  프로그램은  기계어로  번역하는  과정없이  실행이  가능하다,X
203,평문을  암호문으로  바꾸는  과정을  복호화라  한다,X
204,공개키를  이용해서  암호화하고  비밀키를  이용해서  복호화하는  방식을  공개키  암호화라  한다,O
205,RAM은  읽기전용의  비휘발성  기억장치이다,X
206,"4G란  4세대  이동통신으로  문자,  음성,  동영상  등  멀티미디어  데이터  전송을  가능하게  하였으며  유심칩을  사용하기  시작
했다.",X
207,byte는  문자를  나타내는  최소  단위로  한글이나  한자는  2개  byte를  사용하여  표현한다.,O
208,안드로이드  모바일  플랫폼은  공개형이다,X
209,사물인터넷이란  모든  사물에  칩을  넣어  어느곳에서도  사용할  수  있도록  구현한  것이다,X
210,1  바이트는   몇  개의  비트로  구성되는가?,8bit
211,각종  사물에  센서와  통신기능을  내장하여  인터넷에  연결하는  기술을  무엇이라  하는가?,사물인터넷
212,"사용자의  동의없이  설치되어  광고나  마켓팅  정보를  수집하거나  개인정보를  몰래  훔쳐가는  프로그램을  무엇이라  하는
가?",스파이웨어
213,다른  사람의  컴퓨터  또는  정보시스템에  침입하여  정보를  빼내는  행위하는  사람을  무엇이라고  하는가?,해커
214,화상  정보를  광학적으로  인식하여  컴퓨터에  입력하는  장치를  무엇이라  하는가?,스캐너
215,사용자가  웹  서버로부터  받은  하이퍼미디어  문서를  볼  수  있도록하는  클라이언트  측  소프트웨어를  무엇이라  하는가?,웹  브라우저
216,"초고속  광대역  통신  네트워크를  기반으로  인터넷  회선을  사용해  양방향으로  TV방송을  제공하는  서비스를  무엇이라고
하는가?",IPTV
217,"다양한  기기  간에  무선으로  데이터  통신을  할수  있도록  만든  무선  PAN(Wireless  Personal  Area  Network)기술을  무엇이
라고  하는가?",블루투스
218,SNS는  무엇의  약자인가?,Social  Network  Service
219,"여러  대의  좀비컴퓨터를  분산  배치하여  동시에  공격  대상  컴퓨터나  네트워크를  보내  공격하는  해킹  방법을  무엇이라  하
는가?",디도스
220,모바일  기기의  과도한  사용으로  뇌  기능이  손상되어  어느  순간부터  인지  기능을  상실하는  질병을  무엇이라고  하는가?,디지털  치매
221,살아있는  사람의  신원을  생리학적  특징이나  행동적  특징을  기반으로  하여  인증하는  기술을  무엇이라고  하는가?,생체인식
222,"아스키코드,  유니코드,  EBCDIC  코드  중  전세계  문자을  모두  표현할  수  있는  것은?",유니코드
223,"옷이나  안경처럼  액세서리  형태로  착용하여  사람과  같이  숨  쉬고  느끼면서  주변환경을  인지하는  컴퓨팅  기술을  무엇이
라고  하는가?",웨어러블  컴퓨팅
224,"컴퓨터  그래픽  기법으로  실제  환경에  가상  객체를  합성하여  가상  객체가  실제로  존재하는  것  처럼  보이게  하는  기술을
무엇이라고  하는가?",증강현실(또는  혼합현실)
225,"텍스트,  그래픽,  이미지,  사운드,  비디오  등의  미디어를  두개  이상  사용하여  어떤  목적을  가진  컨텐츠로  제작하고  이를  통
신매체를  통해  제3자에게  제공하는  기술을  무엇이라고  하는가?",멀티미디어
226,멀티미디어라는  용어를  처음으로  사용한  사람은?,스티브잡스
227,"하드웨어와  사용자  사이에서  인터페이스를  제공하고  시스템  자원을  효율적으로  관리하여  컴퓨터의  성능을  향상시키는
시스템  소프트웨어를  무엇이라고  하는가?",운영체제
